time,IN_A,IN_B,OUT_1,OUT_2
6.9e-09,0,0,0,0
6.9099999999999995e-09,0,0,0,0
6.919999999999999e-09,0,0,0,0
6.93e-09,0,0,0,0
6.94e-09,0,0,0,0
6.949999999999999e-09,0,0,0,0
6.96e-09,0,0,0,0
6.97e-09,0,0,0,0
6.9799999999999995e-09,0,0,0,0
6.989999999999999e-09,0,0,0,0
7e-09,0,0,0,0
7.0099999999999996e-09,0,0,0,0
7.019999999999999e-09,0,0,0,0
7.03e-09,0,0,0,0
7.04e-09,0,0,0,0
7.0499999999999994e-09,0,0,0,0
7.059999999999999e-09,0,0,0,0
7.07e-09,0,0,0,0
7.0799999999999995e-09,0,0,0,0
7.089999999999999e-09,0,0,0,0
7.1e-09,0,0,0,0
7.11e-09,0,0,0,0
7.119999999999999e-09,0,0,0,0
7.129999999999999e-09,0,0,0,0
7.14e-09,0,0,0,0
7.1499999999999995e-09,0,0,0,0
7.159999999999999e-09,0,0,0,0
7.17e-09,0,0,0,0
7.18e-09,0,0,0,0
7.189999999999999e-09,0,0,0,0
7.2e-09,0,0,0,0
7.21e-09,0,0,0,0
7.2199999999999995e-09,0,0,0,0
7.229999999999999e-09,0,0,0,0
7.24e-09,0,0,0,0
7.2499999999999996e-09,0,0,0,0
7.259999999999999e-09,0,0,0,0
7.27e-09,0,0,0,0
7.28e-09,0,0,0,0
7.2899999999999994e-09,0,0,0,0
7.299999999999999e-09,0,0,0,0
7.31e-09,0,0,0,0
7.3199999999999995e-09,0,0,0,0
7.329999999999999e-09,0,0,0,0
7.34e-09,0,0,0,0
7.35e-09,0,0,0,0
7.359999999999999e-09,0,0,0,0
7.369999999999999e-09,0,0,0,0
7.38e-09,0,0,0,0
7.3899999999999995e-09,0,0,0,0
7.399999999999999e-09,0,0,0,0
7.41e-09,0,0,0,0
7.42e-09,0,0,0,0
7.429999999999999e-09,0,0,0,0
7.44e-09,0,0,0,0
7.45e-09,0,0,0,0
7.46e-09,0,0,0,0
7.47e-09,0,0,0,0
7.48e-09,0,0,0,0
7.49e-09,0,0,0,0
7.5e-09,0,0,0,0
7.509999999999999e-09,0,0,0,0
7.519999999999999e-09,0,0,0,0
7.53e-09,0,0,0,0
7.54e-09,0,0,0,0
7.55e-09,0,0,0,0
7.56e-09,0,0,0,0
7.57e-09,0,0,0,0
7.579999999999999e-09,0,0,0,0
7.589999999999999e-09,0,0,0,0
7.6e-09,0,0,0,0
7.61e-09,0,0,0,0
7.62e-09,0,0,0,0
7.63e-09,0,0,0,0
7.64e-09,0,0,0,0
7.649999999999999e-09,0,0,0,0
7.659999999999999e-09,0,0,0,0
7.67e-09,0,0,0,0
7.68e-09,0,0,0,0
7.69e-09,0,0,0,0
7.7e-09,0,0,0,0
7.71e-09,0,0,0,0
7.719999999999999e-09,0,0,0,0
7.729999999999999e-09,0,0,0,0
7.74e-09,0,0,0,0
7.75e-09,0,0,0,0
7.76e-09,0,0,0,0
7.77e-09,0,0,0,0
7.78e-09,0,0,0,0
7.789999999999999e-09,0,0,0,0
7.799999999999999e-09,0,0,0,0
7.81e-09,0,0,0,0
7.82e-09,0,0,0,0
7.83e-09,0,0,0,0
7.84e-09,0,0,0,0
7.849999999999999e-09,0,0,0,0
7.859999999999999e-09,0,0,0,0
7.87e-09,0,0,0,0
7.88e-09,0,0,0,0
7.89e-09,0,0,0,0
7.9e-09,0,0,0,0
7.91e-09,0,0,0,0
7.919999999999999e-09,0,0,0,0
7.929999999999999e-09,0,0,0,0
7.94e-09,0,0,0,0
7.95e-09,0,0,0,0
7.96e-09,0,0,0,0
7.97e-09,0,0,0,0
7.98e-09,0,0,0,0
7.989999999999999e-09,0,0,0,0
7.999999999999999e-09,0,0,0,0
8.01e-09,0,0,0,0
8.02e-09,0,0,0,0
8.03e-09,0,0,0,0
8.04e-09,0,0,0,0
8.05e-09,0,0,0,0
8.059999999999999e-09,0,0,0,0
8.069999999999999e-09,0,0,0,0
8.08e-09,0,0,0,0
8.09e-09,0,0,0,0
8.1e-09,0,0,0,0
8.11e-09,0,0,0,0
8.12e-09,0,0,0,0
8.129999999999999e-09,0,0,0,0
8.139999999999999e-09,0,0,0,0
8.15e-09,0,0,0,0
8.16e-09,0,0,0,0
8.17e-09,0,0,0,0
8.18e-09,0,0,0,0
8.19e-09,0,0,0,0
8.199999999999999e-09,0,0,0,0
8.209999999999999e-09,0,0,0,0
8.22e-09,0,0,0,0
8.23e-09,0,0,0,0
8.24e-09,0,0,0,0
8.25e-09,0,0,0,0
8.26e-09,0,0,0,0
